hv(eV),n(hV),I(hv)(eV),eta_SQ,eta_UL
0.3302,1.933008e+21,102.2587,0.064,0.2257
0.3306,1.98921e+21,105.3722,0.0642,0.2259
0.3311,2.203205e+21,116.8637,0.0644,0.2262
0.3315,1.879688e+21,99.83683,0.0646,0.2264
0.332,1.815948e+21,96.58051,0.0648,0.2267
0.3324,1.953422e+21,104.0313,0.065,0.227
0.3328,2.245115e+21,119.7261,0.0652,0.2272
0.3333,2.168782e+21,115.8109,0.0654,0.2275
0.3337,1.92052e+21,102.692,0.0656,0.2277
0.3342,1.941513e+21,103.9544,0.0658,0.228
0.3346,2.224014e+21,119.2411,0.066,0.2282
0.3351,2.237234e+21,120.112,0.0662,0.2285
0.3355,2.075371e+21,111.5727,0.0664,0.2287
0.336,1.977237e+21,106.441,0.0666,0.229
0.3365,1.917563e+21,103.3686,0.0668,0.2293
0.3369,1.685808e+21,90.99907,0.067,0.2295
0.3374,9.730842e+20,52.59805,0.0672,0.2298
0.3378,1.585619e+21,85.82414,0.0674,0.2301
0.3383,2.049416e+21,111.0792,0.0676,0.2304
0.3388,2.172623e+21,117.9179,0.0678,0.2306
0.3392,2.176419e+21,118.2856,0.068,0.2309
0.3397,1.998688e+21,108.7749,0.0682,0.2312
0.3401,2.084081e+21,113.5779,0.0685,0.2314
0.3406,2.248036e+21,122.6813,0.0687,0.2317
0.3411,2.008471e+21,109.7584,0.0689,0.2319
0.3416,1.933385e+21,105.8006,0.0691,0.2322
0.342,1.980335e+21,108.5194,0.0693,0.2325
0.3425,2.236993e+21,122.7532,0.0695,0.2328
0.343,1.816985e+21,99.84344,0.0697,0.233
0.3434,1.810621e+21,99.63156,0.0699,0.2333
0.3439,1.970565e+21,108.5831,0.0701,0.2336
0.3444,1.944002e+21,107.2681,0.0703,0.2338
0.3449,1.824233e+21,100.7994,0.0706,0.2341
0.3454,1.775734e+21,98.25624,0.0708,0.2344
0.3458,1.71497e+21,95.02635,0.071,0.2347
0.3463,1.897809e+21,105.3043,0.0712,0.235
0.3468,1.603689e+21,89.10882,0.0714,0.2352
0.3473,1.540291e+21,85.706,0.0716,0.2355
0.3478,1.996207e+21,111.2302,0.0719,0.2358
0.3483,1.977561e+21,110.3459,0.0721,0.2361
0.3488,1.652392e+21,92.33154,0.0723,0.2364
0.3493,1.914258e+21,107.1146,0.0725,0.2367
0.3497,1.726235e+21,96.72979,0.0727,0.2369
0.3502,1.626682e+21,91.2801,0.073,0.2372
0.3507,1.695956e+21,95.30193,0.0732,0.2375
0.3512,1.987281e+21,111.8308,0.0734,0.2378
0.3517,2.032379e+21,114.5308,0.0736,0.2381
0.3522,2.146641e+21,121.1416,0.0739,0.2384
0.3527,2.026769e+21,114.5396,0.0741,0.2386
0.3532,2.10048e+21,118.8743,0.0743,0.2389
0.3537,2.064593e+21,117.01,0.0745,0.2392
0.3542,2.074571e+21,117.7435,0.0748,0.2395
0.3547,2.126015e+21,120.8358,0.075,0.2398
0.3553,1.798289e+21,102.3554,0.0752,0.2401
0.3558,2.07843e+21,118.4702,0.0754,0.2403
0.3563,1.920625e+21,109.6326,0.0757,0.2406
0.3568,1.864481e+21,106.581,0.0759,0.2409
0.3573,2.080548e+21,119.1036,0.0761,0.2412
0.3578,1.658385e+21,95.07336,0.0764,0.2415
0.3583,2.107349e+21,120.9865,0.0766,0.2418
0.3589,1.391377e+21,79.99694,0.0768,0.2421
0.3594,1.859543e+21,107.069,0.0771,0.2424
0.3599,1.87886e+21,108.3383,0.0773,0.2427
0.3604,1.328029e+21,76.6877,0.0775,0.243
0.3609,1.901219e+21,109.9467,0.0778,0.2433
0.3615,1.423703e+21,82.45211,0.078,0.2436
0.362,1.632298e+21,94.67066,0.0783,0.2439
0.3625,2.138239e+21,124.1958,0.0785,0.2442
0.3631,1.176808e+21,68.45283,0.0787,0.2445
0.3636,1.139898e+21,66.40305,0.079,0.2448
0.3641,7.148006e+20,41.7008,0.0792,0.2452
0.3647,1.996257e+21,116.631,0.0795,0.2455
0.3652,1.516773e+21,88.74778,0.0797,0.2458
0.3657,1.558912e+21,91.34791,0.08,0.2461
0.3663,1.179483e+21,69.21651,0.0802,0.2464
0.3668,8.014116e+20,47.09942,0.0805,0.2468
0.3674,1.319907e+21,77.68663,0.0807,0.2471
0.3679,6.120992e+20,36.08016,0.081,0.2474
0.3685,1.112458e+21,65.67122,0.0813,0.2478
0.369,8.070916e+20,47.71558,0.0815,0.2481
0.3696,5.567203e+20,32.96257,0.0818,0.2485
0.3701,1.225414e+21,72.6632,0.082,0.2488
0.3707,5.380801e+20,31.95416,0.0823,0.2491
0.3712,5.234772e+20,31.1335,0.0826,0.2495
0.3718,1.365914e+21,81.3587,0.0828,0.2498
0.3723,6.989158e+20,41.69243,0.0831,0.2502
0.3729,5.251875e+20,31.37612,0.0834,0.2505
0.3734,8.913095e+18,0.5332945,0.0836,0.2509
0.374,2.386288e+18,0.1429934,0.0839,0.2513
0.3746,5.777165e+20,34.67076,0.0842,0.2516
0.3751,5.777555e+20,34.72556,0.0845,0.252
0.3757,2.596406e+20,15.62915,0.0848,0.2524
0.3763,1.777018e+20,10.71305,0.085,0.2528
0.3769,1.266208e+21,76.45147,0.0853,0.2531
0.3774,1.601697e+21,96.85491,0.0856,0.2534
0.378,4.104047e+20,24.85508,0.0859,0.2538
0.3786,8.452581e+20,51.26898,0.0861,0.2542
0.3792,1.730062e+20,10.5097,0.0864,0.2545
0.3797,3.457418e+20,21.03514,0.0867,0.2549
0.3803,1.72296e+20,10.49867,0.087,0.2553
0.3809,1.391555e+21,84.92313,0.0873,0.2557
0.3815,3.633275e+20,22.20708,0.0875,0.256
0.3821,1.018475e+20,6.234656,0.0878,0.2564
0.3827,5.173761e+20,31.72035,0.0881,0.2568
0.3833,1.002642e+21,61.56701,0.0884,0.2572
0.3839,4.662988e+19,2.867731,0.0887,0.2575
0.3844,2.706783e+19,1.667248,0.089,0.2579
0.385,2.180991e+20,13.45472,0.0893,0.2583
0.3856,6.712907e+19,4.14769,0.0896,0.2587
0.3862,1.83103e+19,1.133097,0.0899,0.2591
0.3868,4.140231e+19,2.566097,0.0902,0.2595
0.3875,5.833207e+19,3.621045,0.0905,0.2599
0.3881,3.565806e+20,22.16989,0.0908,0.2603
0.3887,5.586916e+20,34.79029,0.0911,0.2607
0.3893,1.06028e+21,66.12834,0.0914,0.2611
0.3899,1.386768e+21,86.62703,0.0917,0.2615
0.3905,1.199498e+21,75.04683,0.092,0.2618
0.3911,1.618827e+21,101.442,0.0923,0.2622
0.3917,1.804402e+21,113.2495,0.0926,0.2625
0.3924,1.182808e+21,74.35389,0.0929,0.2629
0.393,7.187411e+20,45.25324,0.0932,0.2633
0.3936,8.470344e+20,53.41547,0.0935,0.2637
0.3942,4.107046e+20,25.94093,0.0938,0.2641
0.3949,4.178498e+20,26.43426,0.0941,0.2645
0.3955,1.431936e+21,90.73244,0.0944,0.2648
0.3961,7.173287e+20,45.52505,0.0947,0.2652
0.3967,3.753117e+20,23.85716,0.095,0.2656
0.3974,1.21093e+21,77.09765,0.0953,0.266
0.398,2.783024e+20,17.74743,0.0956,0.2664
0.3987,1.032879e+20,6.597292,0.0959,0.2668
0.3993,1.120111e+20,7.165985,0.0963,0.2673
0.3999,5.323455e+20,34.1121,0.0966,0.2677
0.4006,7.885817e+19,5.061307,0.0969,0.2681
0.4012,2.85168e+20,18.33238,0.0972,0.2685
0.4019,2.106608e+20,13.56454,0.0976,0.269
0.4025,4.297399e+20,27.71607,0.0979,0.2694
0.4032,7.109523e+20,45.92741,0.0982,0.2698
0.4039,2.055e+20,13.29689,0.0985,0.2702
0.4045,3.403577e+20,22.05879,0.0989,0.2706
0.4052,7.330687e+20,47.58827,0.0992,0.2711
0.4058,3.351154e+19,2.179013,0.0995,0.2715
0.4065,1.188991e+20,7.743819,0.0999,0.2719
0.4072,4.825007e+20,31.47656,0.1002,0.2724
0.4078,2.309039e+20,15.08809,0.1006,0.2728
0.4085,2.836155e+20,18.56299,0.1009,0.2732
0.4092,6.862032e+20,44.98697,0.1012,0.2737
0.4099,8.432843e+20,55.37647,0.1016,0.2741
0.4105,7.086876e+19,4.661487,0.1019,0.2745
0.4112,6.181744e+20,40.72867,0.1022,0.275
0.4119,7.582529e+20,50.04079,0.1026,0.2754
0.4126,3.184774e+20,21.05284,0.1029,0.2758
0.4133,8.602717e+20,56.96276,0.1033,0.2762
0.414,4.663742e+20,30.93245,0.1036,0.2767
0.4147,1.115742e+21,74.12577,0.104,0.2771
0.4154,7.519242e+20,50.03874,0.1043,0.2775
0.4161,1.437787e+20,9.584178,0.1046,0.278
0.4168,9.133209e+19,6.098359,0.105,0.2784
0.4175,3.747798e+19,2.506665,0.1054,0.2789
0.4182,7.871937e+20,52.73919,0.1057,0.2793
0.4189,4.84079e+20,32.48637,0.1061,0.2798
0.4196,2.447491e+20,16.45281,0.1064,0.2802
0.4203,5.44911e+20,36.69274,0.1068,0.2807
0.421,1.502628e+20,10.13544,0.1071,0.2812
0.4217,1.679062e+20,11.34478,0.1075,0.2816
0.4224,6.662638e+20,45.09358,0.1079,0.2821
0.4232,6.01126e+20,40.7544,0.1082,0.2825
0.4239,1.10094e+20,7.476777,0.1086,0.283
0.4246,2.926337e+20,19.90756,0.109,0.2835
0.4253,1.265284e+20,8.622358,0.1093,0.284
0.4261,2.72348e+20,18.59122,0.1097,0.2844
0.4268,1.104491e+19,0.755253,0.1101,0.2849
0.4275,8.036193e+19,5.504641,0.1105,0.2854
0.4283,2.624738e+20,18.01001,0.1109,0.2859
0.429,1.825157e+19,1.254524,0.1112,0.2864
0.4298,4.419768e+19,3.043198,0.1116,0.2869
0.4305,2.398023e+19,1.654007,0.112,0.2874
0.4312,3.779412e+19,2.611338,0.1124,0.2879
0.432,6.05943e+17,0.04193981,0.1128,0.2884
